customer_id,customer_name,segment,region,support_channel,subscription_start,subscription_status
C0001,John Gibson,Enterprise,North,Email,2026-01-16,Cancelled
C0002,Carolyn Olsen,Enterprise,East,Email,2026-05-17,Active
C0003,Christina Green,Basic,South,Phone,2026-03-13,Cancelled
C0004,Karen Dickerson,Basic,North,Phone,2026-04-16,Active
C0005,Megan Nunez,Premium,North,Email,2026-03-07,Active
C0006,Patricia Kennedy,Basic,South,Email,2026-07-21,Cancelled
C0007,Kyle Mendoza,Enterprise,North,Phone,2024-09-09,Cancelled
C0008,Allison Bartlett,Basic,West,Email,2026-05-21,Active
C0009,Martha Butler PhD,Premium,East,Email,2025-07-31,Active
C0010,Marcus Williams,Basic,West,Chat,2025-01-07,Active
C0011,John Peterson,Premium,South,Email,2026-06-29,Active
C0012,Darlene Harris,Premium,North,Email,2025-04-02,Active
C0013,Joseph Nichols,Premium,North,Chat,2026-03-22,Cancelled
C0014,Valerie House,Premium,East,Email,2026-01-19,Active
C0015,Keith Lawson,Enterprise,West,Phone,2026-05-18,Active
C0016,Jessica Dennis,Basic,West,Email,2026-04-24,Active
C0017,Audrey Mcneil,Enterprise,East,Phone,2025-06-25,Active
C0018,Richard Davis,Enterprise,East,Phone,2024-09-03,Cancelled
C0019,Daniel Hernandez,Basic,North,Email,2025-09-02,Active
C0020,Nicole Dunlap,Enterprise,South,Chat,2026-07-10,Active
C0021,Bianca Obrien,Basic,South,Email,2026-06-28,Active
C0022,Gregory Lee,Premium,East,Chat,2025-09-07,Active
C0023,Teresa Tran,Enterprise,East,Email,2026-03-31,Cancelled
C0024,Douglas Glenn,Premium,East,Email,2025-04-13,Active
C0025,Shane Green,Enterprise,East,Phone,2025-03-25,Active
C0026,Richard Kline,Enterprise,North,Phone,2025-01-26,Active
C0027,Daniel Reed,Enterprise,South,Phone,2025-02-06,Cancelled
C0028,Jennifer Myers,Enterprise,South,Email,2026-06-27,Active
C0029,Sarah Williams,Premium,West,Chat,2026-04-20,Active
